작성일,종목명,종목코드,제목,적정가격,평가의견,작성자,작성기관,기업정보,첨부파일,현재가격
2025-11-17,미스토홀딩스,081660, 안정적인 실적 안정적인 실적 안정적인 실적 ,"47,000",매수,형권훈,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=081660&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644768,41500
2025-11-17,영원무역,111770, 우려 대비 아주 좋은 실적 우려 대비 아주 좋은 실적 우려 대비 아주 좋은 실적 ,"90,000",매수,형권훈,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=111770&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644767,85100
2025-11-17,이수페타시스,007660, 2026 모멘텀 적층기술 네트워크 단가인상 2026 모멘텀 적층기술 네트워크 단가인상 2026 모멘텀 적층기술 네트워크 단가인상 ,"144,000",매수,박형우,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=007660&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644766,133300
2025-11-17,NICE평가정보,030190, 3Q25 Review 영업이익 19 4 YoY 3Q25 Review 영업이익 19 4 YoY 3Q25 Review 영업이익 19 4 YoY ,"20,000",Buy,정홍식,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=030190&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644765,17490
2025-11-17,나이스디앤비,130580, 3Q25 Review 영업이익 증가 흐름 3Q25 Review 영업이익 증가 흐름 3Q25 Review 영업이익 증가 흐름 ,"7,000",Buy,정홍식,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=130580&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644764,5780
2025-11-17,유니퀘스트,077500, 3Q25 Review 영업이익 24 8 YoY 3Q25 Review 영업이익 24 8 YoY 3Q25 Review 영업이익 24 8 YoY ,0,NotRated,정홍식,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=077500&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644763,6150
2025-11-17,플리토,300080, 언어데이터 수요 확대 글로벌 빅테크향 매출 성장성 UP 언어데이터 수요 확대 글로벌 빅테크향 매출 성장성 UP 언어데이터 수요 확대 글로벌 빅테크향 매출 성장성 UP ,0,nr,"이상헌,장호",iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=300080&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644762,16550
2025-11-17,농심,004370, 든든한 내수가 돋보이는 실적 든든한 내수가 돋보이는 실적 든든한 내수가 돋보이는 실적 ,"550,000",Buy,이경신,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=004370&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644760,472000
2025-11-17,삼양식품,003230, 여기서 또 고성장 시현이 가능하다 여기서 또 고성장 시현이 가능하다 여기서 또 고성장 시현이 가능하다 ,"1,800,000",Buy,이경신,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=003230&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644759,1401000
2025-11-13,한글과컴퓨터,030520, 3Q25 Review AI 사업화 기반 구축 중 3Q25 Review AI 사업화 기반 구축 중 3Q25 Review AI 사업화 기반 구축 중 ,"35,000",Buy,박종선,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=030520&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644758,22750
